Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139.zip,49,S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10.zip,-26,36
S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139.zip,49,S1A_IW_SLC__1SDV_20170723T215254_20170723T215323_017604_01D748_8676,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170723T215254_20170723T215323_017604_01D748_8676.zip,-33,48
S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A.zip,3,S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10.zip,-26,12
S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A.zip,3,S1A_IW_SLC__1SDV_20170723T215254_20170723T215323_017604_01D748_8676,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170723T215254_20170723T215323_017604_01D748_8676.zip,-33,24
S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170629T215253_20170629T215322_017254_01CCAD_8B5A.zip,3,S1A_IW_SLC__1SDV_20170804T215255_20170804T215324_017779_01DCA7_6500,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170804T215255_20170804T215324_017779_01DCA7_6500.zip,27,37
S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10.zip,-26,S1A_IW_SLC__1SDV_20170723T215254_20170723T215323_017604_01D748_8676,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170723T215254_20170723T215323_017604_01D748_8676.zip,-33,12
S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10.zip,-26,S1A_IW_SLC__1SDV_20170804T215255_20170804T215324_017779_01DCA7_6500,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170804T215255_20170804T215324_017779_01DCA7_6500.zip,27,25
S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170711T215253_20170711T215322_017429_01D1FB_FD10.zip,-26,S1A_IW_SLC__1SDV_20170816T215255_20170816T215324_017954_01E1F6_5BAC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170816T215255_20170816T215324_017954_01E1F6_5BAC.zip,42,37
S1A_IW_SLC__1SDV_20170723T215254_20170723T215323_017604_01D748_8676,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170723T215254_20170723T215323_017604_01D748_8676.zip,-33,S1A_IW_SLC__1SDV_20170804T215255_20170804T215324_017779_01DCA7_6500,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170804T215255_20170804T215324_017779_01DCA7_6500.zip,27,13
S1A_IW_SLC__1SDV_20170723T215254_20170723T215323_017604_01D748_8676,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170723T215254_20170723T215323_017604_01D748_8676.zip,-33,S1A_IW_SLC__1SDV_20170816T215255_20170816T215324_017954_01E1F6_5BAC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170816T215255_20170816T215324_017954_01E1F6_5BAC.zip,42,25
