Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20171003T215257_20171003T215326_018654_01F75C_0248,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171003T215257_20171003T215326_018654_01F75C_0248.zip,-13,S1A_IW_SLC__1SDV_20171015T215257_20171015T215326_018829_01FCB2_F499,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171015T215257_20171015T215326_018829_01FCB2_F499.zip,19,12
S1A_IW_SLC__1SDV_20171003T215257_20171003T215326_018654_01F75C_0248,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171003T215257_20171003T215326_018654_01F75C_0248.zip,-13,S1A_IW_SLC__1SDV_20171027T215257_20171027T215326_019004_020205_B791,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171027T215257_20171027T215326_019004_020205_B791.zip,82,24
S1A_IW_SLC__1SDV_20171003T215257_20171003T215326_018654_01F75C_0248,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171003T215257_20171003T215326_018654_01F75C_0248.zip,-13,S1A_IW_SLC__1SDV_20171108T215257_20171108T215326_019179_020769_1C3A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171108T215257_20171108T215326_019179_020769_1C3A.zip,-14,36
S1A_IW_SLC__1SDV_20171003T215257_20171003T215326_018654_01F75C_0248,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171003T215257_20171003T215326_018654_01F75C_0248.zip,-13,S1A_IW_SLC__1SDV_20171120T215257_20171120T215326_019354_020CEB_768F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171120T215257_20171120T215326_019354_020CEB_768F.zip,27,48
S1A_IW_SLC__1SDV_20171015T215257_20171015T215326_018829_01FCB2_F499,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171015T215257_20171015T215326_018829_01FCB2_F499.zip,19,S1A_IW_SLC__1SDV_20171027T215257_20171027T215326_019004_020205_B791,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171027T215257_20171027T215326_019004_020205_B791.zip,82,12
S1A_IW_SLC__1SDV_20171015T215257_20171015T215326_018829_01FCB2_F499,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171015T215257_20171015T215326_018829_01FCB2_F499.zip,19,S1A_IW_SLC__1SDV_20171108T215257_20171108T215326_019179_020769_1C3A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171108T215257_20171108T215326_019179_020769_1C3A.zip,-14,24
S1A_IW_SLC__1SDV_20171015T215257_20171015T215326_018829_01FCB2_F499,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171015T215257_20171015T215326_018829_01FCB2_F499.zip,19,S1A_IW_SLC__1SDV_20171120T215257_20171120T215326_019354_020CEB_768F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171120T215257_20171120T215326_019354_020CEB_768F.zip,27,36
S1A_IW_SLC__1SDV_20171027T215257_20171027T215326_019004_020205_B791,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171027T215257_20171027T215326_019004_020205_B791.zip,82,S1A_IW_SLC__1SDV_20171108T215257_20171108T215326_019179_020769_1C3A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171108T215257_20171108T215326_019179_020769_1C3A.zip,-14,12
S1A_IW_SLC__1SDV_20171027T215257_20171027T215326_019004_020205_B791,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171027T215257_20171027T215326_019004_020205_B791.zip,82,S1A_IW_SLC__1SDV_20171120T215257_20171120T215326_019354_020CEB_768F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171120T215257_20171120T215326_019354_020CEB_768F.zip,27,24
S1A_IW_SLC__1SDV_20171108T215257_20171108T215326_019179_020769_1C3A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171108T215257_20171108T215326_019179_020769_1C3A.zip,-14,S1A_IW_SLC__1SDV_20171120T215257_20171120T215326_019354_020CEB_768F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171120T215257_20171120T215326_019354_020CEB_768F.zip,27,12
