X,Y,LOS_disp
115.435806274414,-8.41329479217529,0.000245756979607986
115.435829162598,-8.41327953338623,-0.00650363152684221
115.435729980469,-8.41315937042236,0.00287448932414985
115.435791015625,-8.41315174102783,-0.00579117054818666
115.435752868652,-8.41313934326172,0.000852304187969909
115.438247680664,-8.41311931610107,-0.00574131927416446
115.438285827637,-8.41310787200928,-0.00354602115311401
115.435752868652,-8.41303634643555,0.000758659865937329
115.435707092285,-8.41300868988037,0.00161036442021635
115.43824005127,-8.41298770904541,-0.0052601206081425
115.438194274902,-8.41298580169678,-0.00906414521312808
115.438285827637,-8.41297626495361,-0.00432468912856026
115.436164855957,-8.41294765472412,-0.0091376769047847
115.436187744141,-8.41294574737549,-0.00782057851455015
115.43815612793,-8.41288471221924,-0.0083063691926421
115.438194274902,-8.41286182403564,-0.00663505954467141
115.436157226562,-8.41279888153076,-0.00766213391113194
115.438148498535,-8.41273880004883,-0.00638035268360274
115.438179016113,-8.41272830963135,-0.00550386061391583
115.437797546387,-8.41259288787842,-0.00738361913556435
115.43782043457,-8.41256141662598,-0.00636610490899409
115.437973022461,-8.41253852844238,-0.00248281205030448
115.437911987305,-8.41251754760742,-0.00466720706449185
115.438102722168,-8.41251754760742,0.00405209073874272
115.437995910645,-8.41250324249268,-0.00726925232315391
115.437934875488,-8.41249656677246,-0.00310320541815186
115.435974121094,-8.4124641418457,-0.00728768836976161
115.437767028809,-8.41245555877686,-0.00555757929282807
115.437789916992,-8.41244125366211,-0.00670140466306532
115.435997009277,-8.41242408752441,-0.0106475011491187
115.437927246094,-8.41240978240967,-0.0028327484444211
115.437950134277,-8.41240215301514,-0.00437927478615114
115.437973022461,-8.41239929199219,-0.00500777243906721
115.435943603516,-8.41233730316162,-0.008964621160694
115.435981750488,-8.41232681274414,-0.0105217297421781
115.438278198242,-8.41231632232666,-0.0069642139498734
115.438377380371,-8.41219329833984,-0.00441966579282693
115.438461303711,-8.41215229034424,-0.0107702763797434
115.438423156738,-8.41214656829834,-0.00808845580172238
115.438362121582,-8.41205215454102,-0.00304144168708923
115.438461303711,-8.41202068328857,-0.0102932064871837
115.438018798828,-8.41199588775635,-0.00551402423896477
115.438354492188,-8.41193866729736,-0.00936164214687301
115.438064575195,-8.41186237335205,-0.00465785304453252
115.438018798828,-8.41185855865479,-0.0065207246064771
115.436225891113,-8.41147613525391,-0.00800086120591066
